aa2026-03-10 15:44:32,0,0,0,0,0
2026-03-10 15:44:32,0,0,0,1,0
2026-03-10 15:44:32,1,0,1,1,0
2026-03-10 15:44:32,1,0,1,1,0
2026-03-10 15:44:33,1,0,1,1,0
2026-03-10 15:44:33,1,0,1,0,0
2026-03-10 15:44:33,1,0,1,0,0
2026-03-10 15:44:33,1,0,1,0,1
2026-03-10 15:44:34,1,0,1,0,1
2026-03-10 15:44:34,1,0,1,0,1
2026-03-10 15:44:34,1,0,1,0,0
2026-03-10 15:44:34,1,0,1,0,0
2026-03-10 15:44:34,1,0,1,1,0
2026-03-10 15:44:35,1,0,1,1,0
2026-03-10 15:44:35,1,0,1,0,0
2026-03-10 15:44:35,1,0,1,0,0
2026-03-10 15:44:35,1,0,1,0,1
2026-03-10 15:44:36,1,0,1,0,1
2026-03-10 15:44:36,1,0,1,0,1
2026-03-10 15:44:36,1,0,1,0,1
2026-03-10 15:44:36,1,0,1,0,1
2026-03-10 15:44:37,1,0,1,0,1
2026-03-10 15:44:37,1,0,1,0,1
2026-03-10 15:44:37,1,0,1,0,1
2026-03-10 15:44:37,1,0,1,0,1
2026-03-10 15:44:38,1,0,1,0,1
2026-03-10 15:44:38,1,0,1,0,1
2026-03-10 15:44:38,1,0,1,0,1
2026-03-10 15:44:38,1,0,1,0,1
2026-03-10 15:44:38,1,0,1,0,1
2026-03-10 15:44:39,1,0,1,0,1
2026-03-10 15:44:39,1,0,1,0,1
2026-03-10 15:44:39,1,0,1,0,1
2026-03-10 15:44:39,1,0,1,0,1
2026-03-10 15:44:39,1,0,1,0,1
2026-03-10 15:44:40,1,0,1,0,1
2026-03-10 15:44:40,1,0,1,0,1
2026-03-10 15:44:40,1,0,1,0,1
2026-03-10 15:44:40,1,0,1,0,1
2026-03-10 15:44:41,1,0,1,0,1
2026-03-10 15:44:41,1,0,1,0,1
2026-03-10 15:44:42,1,0,1,0,1
2026-03-10 15:44:42,1,0,1,0,1
2026-03-10 15:44:42,1,0,1,0,1
